enigma_index,enigma_label,hemisphere,aparc_region,adni_tau_column,status
0,L_bankssts,left,bankssts,CTX_LH_BANKSSTS_SUVR,matched
1,L_caudalanteriorcingulate,left,caudalanteriorcingulate,CTX_LH_CAUDALANTERIORCINGULATE_SUVR,matched
2,L_caudalmiddlefrontal,left,caudalmiddlefrontal,CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,matched
3,L_cuneus,left,cuneus,CTX_LH_CUNEUS_SUVR,matched
4,L_entorhinal,left,entorhinal,CTX_LH_ENTORHINAL_SUVR,matched
5,L_fusiform,left,fusiform,CTX_LH_FUSIFORM_SUVR,matched
6,L_inferiorparietal,left,inferiorparietal,CTX_LH_INFERIORPARIETAL_SUVR,matched
7,L_inferiortemporal,left,inferiortemporal,CTX_LH_INFERIORTEMPORAL_SUVR,matched
8,L_isthmuscingulate,left,isthmuscingulate,CTX_LH_ISTHMUSCINGULATE_SUVR,matched
9,L_lateraloccipital,left,lateraloccipital,CTX_LH_LATERALOCCIPITAL_SUVR,matched
10,L_lateralorbitofrontal,left,lateralorbitofrontal,CTX_LH_LATERALORBITOFRONTAL_SUVR,matched
11,L_lingual,left,lingual,CTX_LH_LINGUAL_SUVR,matched
12,L_medialorbitofrontal,left,medialorbitofrontal,CTX_LH_MEDIALORBITOFRONTAL_SUVR,matched
13,L_middletemporal,left,middletemporal,CTX_LH_MIDDLETEMPORAL_SUVR,matched
14,L_parahippocampal,left,parahippocampal,CTX_LH_PARAHIPPOCAMPAL_SUVR,matched
15,L_paracentral,left,paracentral,CTX_LH_PARACENTRAL_SUVR,matched
16,L_parsopercularis,left,parsopercularis,CTX_LH_PARSOPERCULARIS_SUVR,matched
17,L_parsorbitalis,left,parsorbitalis,CTX_LH_PARSORBITALIS_SUVR,matched
18,L_parstriangularis,left,parstriangularis,CTX_LH_PARSTRIANGULARIS_SUVR,matched
19,L_pericalcarine,left,pericalcarine,CTX_LH_PERICALCARINE_SUVR,matched
20,L_postcentral,left,postcentral,CTX_LH_POSTCENTRAL_SUVR,matched
21,L_posteriorcingulate,left,posteriorcingulate,CTX_LH_POSTERIORCINGULATE_SUVR,matched
22,L_precentral,left,precentral,CTX_LH_PRECENTRAL_SUVR,matched
23,L_precuneus,left,precuneus,CTX_LH_PRECUNEUS_SUVR,matched
24,L_rostralanteriorcingulate,left,rostralanteriorcingulate,CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,matched
25,L_rostralmiddlefrontal,left,rostralmiddlefrontal,CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,matched
26,L_superiorfrontal,left,superiorfrontal,CTX_LH_SUPERIORFRONTAL_SUVR,matched
27,L_superiorparietal,left,superiorparietal,CTX_LH_SUPERIORPARIETAL_SUVR,matched
28,L_superiortemporal,left,superiortemporal,CTX_LH_SUPERIORTEMPORAL_SUVR,matched
29,L_supramarginal,left,supramarginal,CTX_LH_SUPRAMARGINAL_SUVR,matched
30,L_frontalpole,left,frontalpole,CTX_LH_FRONTALPOLE_SUVR,matched
31,L_temporalpole,left,temporalpole,CTX_LH_TEMPORALPOLE_SUVR,matched
32,L_transversetemporal,left,transversetemporal,CTX_LH_TRANSVERSETEMPORAL_SUVR,matched
33,L_insula,left,insula,CTX_LH_INSULA_SUVR,matched
34,R_bankssts,right,bankssts,CTX_RH_BANKSSTS_SUVR,matched
35,R_caudalanteriorcingulate,right,caudalanteriorcingulate,CTX_RH_CAUDALANTERIORCINGULATE_SUVR,matched
36,R_caudalmiddlefrontal,right,caudalmiddlefrontal,CTX_RH_CAUDALMIDDLEFRONTAL_SUVR,matched
37,R_cuneus,right,cuneus,CTX_RH_CUNEUS_SUVR,matched
38,R_entorhinal,right,entorhinal,CTX_RH_ENTORHINAL_SUVR,matched
39,R_fusiform,right,fusiform,CTX_RH_FUSIFORM_SUVR,matched
40,R_inferiorparietal,right,inferiorparietal,CTX_RH_INFERIORPARIETAL_SUVR,matched
41,R_inferiortemporal,right,inferiortemporal,CTX_RH_INFERIORTEMPORAL_SUVR,matched
42,R_isthmuscingulate,right,isthmuscingulate,CTX_RH_ISTHMUSCINGULATE_SUVR,matched
43,R_lateraloccipital,right,lateraloccipital,CTX_RH_LATERALOCCIPITAL_SUVR,matched
44,R_lateralorbitofrontal,right,lateralorbitofrontal,CTX_RH_LATERALORBITOFRONTAL_SUVR,matched
45,R_lingual,right,lingual,CTX_RH_LINGUAL_SUVR,matched
46,R_medialorbitofrontal,right,medialorbitofrontal,CTX_RH_MEDIALORBITOFRONTAL_SUVR,matched
47,R_middletemporal,right,middletemporal,CTX_RH_MIDDLETEMPORAL_SUVR,matched
48,R_parahippocampal,right,parahippocampal,CTX_RH_PARAHIPPOCAMPAL_SUVR,matched
49,R_paracentral,right,paracentral,CTX_RH_PARACENTRAL_SUVR,matched
50,R_parsopercularis,right,parsopercularis,CTX_RH_PARSOPERCULARIS_SUVR,matched
51,R_parsorbitalis,right,parsorbitalis,CTX_RH_PARSORBITALIS_SUVR,matched
52,R_parstriangularis,right,parstriangularis,CTX_RH_PARSTRIANGULARIS_SUVR,matched
53,R_pericalcarine,right,pericalcarine,CTX_RH_PERICALCARINE_SUVR,matched
54,R_postcentral,right,postcentral,CTX_RH_POSTCENTRAL_SUVR,matched
55,R_posteriorcingulate,right,posteriorcingulate,CTX_RH_POSTERIORCINGULATE_SUVR,matched
56,R_precentral,right,precentral,CTX_RH_PRECENTRAL_SUVR,matched
57,R_precuneus,right,precuneus,CTX_RH_PRECUNEUS_SUVR,matched
58,R_rostralanteriorcingulate,right,rostralanteriorcingulate,CTX_RH_ROSTRALANTERIORCINGULATE_SUVR,matched
59,R_rostralmiddlefrontal,right,rostralmiddlefrontal,CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR,matched
